TradeID,OrderID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,time
5005,1005,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R124,S,N,NASDAQ,MLGO,200,19.93,03/26/25 09:45:40
5006,1006,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R123,S,N,NYSE,TNON,300,28.70,03/26/25 09:51:38
5007,1007,1GDN-001173-1,001173,North,ARCA,DATS-NY,R125,B,N,NYSE,DATS,300,45.07,03/26/25 09:56:20
5008,1008,1GDN-001173-1,001173,Main,ARCA,GDHG-NY,R124,B,N,NYSE,GDHG,300,67.03,03/26/25 10:02:30
5009,1009,1GDN-001173-1,001173,Main,NSDQ,TNON-NQ,R123,B,N,NASDAQ,TNON,250,28.80,03/26/25 10:11:05
5010,1010,1GDN-001173-1,001173,North,NSDQ,MLGO-NQ,R125,S,Y,NASDAQ,MLGO,400,19.73,03/26/25 10:16:45
5011,1011,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R124,S,N,NYSE,DATS,200,45.44,03/26/25 10:21:05
5012,1012,1GDN-001173-1,001173,Main,ARCA,GDHG-NY,R123,B,N,NYSE,GDHG,300,66.93,03/26/25 10:31:15
5013,1013,1GDN-001173-1,001173,North,NSDQ,TNON-NQ,R125,S,N,NASDAQ,TNON,300,28.93,03/26/25 10:36:20
5014,1014,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R124,B,N,NASDAQ,MLGO,400,19.66,03/26/25 10:41:30
5015,1015,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R123,B,N,NYSE,DATS,200,45.33,03/26/25 10:46:05
5016,1016,1GDN-001173-1,001173,North,ARCA,GDHG-NY,R125,S,Y,NYSE,GDHG,300,67.13,03/26/25 10:51:45
5017,1017,1GDN-001173-1,001173,Main,NSDQ,TNON-NQ,R124,S,N,NASDAQ,TNON,250,29.00,03/26/25 10:56:30
5018,1018,1GDN-001173-1,001173,Main,ARCA,MLGO-NY,R123,B,N,NYSE,MLGO,400,19.60,03/26/25 11:01:40
5019,1019,1GDN-001173-1,001173,North,ARCA,DATS-NY,R125,S,N,NYSE,DATS,300,45.53,03/26/25 11:06:45
5020,1020,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R124,B,N,NASDAQ,GDHG,300,66.83,03/26/25 11:11:50
5021,1021,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R123,B,N,NYSE,TNON,300,28.83,03/26/25 11:16:40
5022,1022,1GDN-001173-1,001173,North,NSDQ,MLGO-NQ,R125,S,N,NASDAQ,MLGO,400,19.90,03/26/25 11:21:40
5023,1023,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R124,B,N,NYSE,DATS,300,45.23,03/26/25 11:26:50
5024,1024,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R123,S,Y,NASDAQ,GDHG,300,67.27,03/26/25 11:31:35
5025,1025,1GDN-001173-1,001173,North,ARCA,TNON-NY,R125,S,N,NYSE,TNON,300,29.07,03/26/25 11:36:45
5026,1026,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R124,B,N,NASDAQ,MLGO,400,19.50,03/26/25 11:41:35
5027,1027,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R123,S,N,NYSE,DATS,300,45.63,03/26/25 11:46:50
5028,1028,1GDN-001173-1,001173,North,NSDQ,GDHG-NQ,R125,B,N,NASDAQ,GDHG,300,66.73,03/26/25 11:51:40
5029,1029,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R124,B,N,NYSE,TNON,300,28.73,03/26/25 11:56:55
5030,1030,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R123,S,Y,NASDAQ,MLGO,400,20.00,03/26/25 12:01:45
5031,1031,1GDN-001173-1,001173,North,ARCA,DATS-NY,R125,B,N,NYSE,DATS,300,45.13,03/26/25 12:06:40
5032,1032,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R124,S,N,NASDAQ,GDHG,300,67.34,03/26/25 12:11:55
5033,1033,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R123,S,N,NYSE,TNON,300,29.14,03/26/25 12:16:35
5034,1034,1GDN-001173-1,001173,North,NSDQ,MLGO-NQ,R125,B,N,NASDAQ,MLGO,400,19.43,03/26/25 12:21:50
5035,1035,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R124,S,Y,NYSE,DATS,300,45.73,03/26/25 12:26:40
5036,1036,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R123,B,N,NASDAQ,GDHG,300,66.63,03/26/25 12:31:55
5037,1037,1GDN-001173-1,001173,North,ARCA,TNON-NY,R125,B,N,NYSE,TNON,300,28.63,03/26/25 12:36:45
5038,1038,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R124,S,N,NASDAQ,MLGO,400,20.07,03/26/25 12:41:40
5039,1039,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R123,B,N,NYSE,DATS,300,45.03,03/26/25 12:46:55
5040,1040,1GDN-001173-1,001173,North,NSDQ,GDHG-NQ,R125,S,N,NASDAQ,GDHG,300,67.43,03/26/25 12:51:45
5041,1041,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R124,S,N,NYSE,TNON,300,29.20,03/26/25 12:56:40
5042,1042,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R123,B,N,NASDAQ,MLGO,400,19.36,03/26/25 13:01:55
5043,1043,1GDN-001173-1,001173,North,ARCA,DATS-NY,R125,S,N,NYSE,DATS,300,45.83,03/26/25 13:06:45
5044,1044,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R124,B,N,NASDAQ,GDHG,300,66.53,03/26/25 13:11:40
5045,1045,1GDN-001173-1,001173,Main,ARCA,TNON-NY,R123,B,N,NYSE,TNON,300,28.56,03/26/25 13:16:55
5046,1046,1GDN-001173-1,001173,North,NSDQ,MLGO-NQ,R125,S,Y,NASDAQ,MLGO,400,20.14,03/26/25 13:21:45
5047,1047,1GDN-001173-1,001173,Main,ARCA,DATS-NY,R124,B,N,NYSE,DATS,300,44.93,03/26/25 13:26:40
5048,1048,1GDN-001173-1,001173,Main,NSDQ,GDHG-NQ,R123,S,N,NASDAQ,GDHG,300,67.53,03/26/25 13:31:55
5049,1049,1GDN-001173-1,001173,North,ARCA,TNON-NY,R125,S,N,NYSE,TNON,300,29.27,03/26/25 13:36:45
5050,1050,1GDN-001173-1,001173,Main,NSDQ,MLGO-NQ,R124,B,N,NASDAQ,MLGO,400,19.30,03/26/25 13:41:40
>>>>>>> Stashed changes
